"","lean","obese"
"LPC-O(19:1)_[M+Cl]1-","LPC-O(19:1)_[M+Cl]1-","LPC-O(19:1)_[M+Cl]1-"
"LPCXX(15:0)_[M+OAC]1-","LPCXX(15:0)_[M+OAC]1-","LPCXX(15:0)_[M+OAC]1-"
"LPCXX(17:0)_[M+OAC]1-","LPCXX(17:0)_[M+OAC]1-","LPCXX(17:0)_[M+OAC]1-"
"LPCXX(17:1)_[M+OAC]1-","LPCXX(17:1)_[M+OAC]1-","LPCXX(17:1)_[M+OAC]1-"
"LPCXX(18:0)_[M+Cl]1-","LPCXX(18:0)_[M+Cl]1-","LPCXX(18:0)_[M+Cl]1-"
"LPCXX(18:1)_[M+Cl]1-","LPCXX(18:1)_[M+Cl]1-","LPCXX(18:1)_[M+Cl]1-"
"LPCXX(18:2)_[M+Cl]1-","LPCXX(18:2)_[M+Cl]1-","LPCXX(18:2)_[M+Cl]1-"
"LPCXX(20:1)_[M+Cl]1-","LPCXX(20:1)_[M+Cl]1-","LPCXX(20:1)_[M+Cl]1-"
"LPCXX(22:2)_[M+Cl]1-","0","LPCXX(22:2)_[M+Cl]1-"
"LPCXX(24:0)_[M+OAC]1-","LPCXX(24:0)_[M+OAC]1-","0"
"LPEXX(13:0)_[M-H]1-","LPEXX(13:0)_[M-H]1-","LPEXX(13:0)_[M-H]1-"
"LPEXX(16:0)_[M-H]1-","LPEXX(16:0)_[M-H]1-","LPEXX(16:0)_[M-H]1-"
"LPEXX(18:0)_[M-H]1-","LPEXX(18:0)_[M-H]1-","LPEXX(18:0)_[M-H]1-"
"LPEXX(18:1)_[M-H]1-","LPEXX(18:1)_[M-H]1-","LPEXX(18:1)_[M-H]1-"
"LPEXX(20:0)_[M-H]1-","LPEXX(20:0)_[M-H]1-","LPEXX(20:0)_[M-H]1-"
"LPEXX(20:1)_[M-H]1-","LPEXX(20:1)_[M-H]1-","LPEXX(20:1)_[M-H]1-"
"LPEXX(22:6)_[M-H]1-","LPEXX(22:6)_[M-H]1-","LPEXX(22:6)_[M-H]1-"
"PAXXX(34:0)_[M-H]1-","PAXXX(34:0)_[M-H]1-","0"
"PAXXX(36:0)_[M-H]1-","PAXXX(36:0)_[M-H]1-","PAXXX(36:0)_[M-H]1-"
"PAXXX(40:7)_[M-H]1-","PAXXX(40:7)_[M-H]1-","0"
"PC-OX(34:5)_[M+OAC]1-","PC-OX(34:5)_[M+OAC]1-","PC-OX(34:5)_[M+OAC]1-"
"PCXXX(32:3)_[M+OAC]1- ","PCXXX(32:3)_[M+OAC]1- ","0"
"PCXXX(33:1)_[M+OAC]1- ","PCXXX(33:1)_[M+OAC]1- ","0"
"PCXXX(33:3)_[M+OAC]1- ","0","PCXXX(33:3)_[M+OAC]1- "
"PCXXX(38:9)_[M+OAC]1- ","PCXXX(38:9)_[M+OAC]1- ","PCXXX(38:9)_[M+OAC]1- "
"PEXXX(34:0)_[M-H]1-","PEXXX(34:0)_[M-H]1-","0"
"PEXXX(36:2)_[M-H]1-","PEXXX(36:2)_[M-H]1-","PEXXX(36:2)_[M-H]1-"
"PEXXX(36:4)_[M-H]1-","PEXXX(36:4)_[M-H]1-","PEXXX(36:4)_[M-H]1-"
"PEXXX(38:4)_[M-H]1-","PEXXX(38:4)_[M-H]1-","PEXXX(38:4)_[M-H]1-"
"PEXXX(38:5)_[M-H]1-","PEXXX(38:5)_[M-H]1-","PEXXX(38:5)_[M-H]1-"
"PGXXX(36:1)_[M-H]1-","0","PGXXX(36:1)_[M-H]1-"
